RiceRiversCenter_PierWaterQualityData_2014 - Data,,,,,,,,,,,,,,,,,,,,,,
DateTime,RecordID,PAR,WindSpeed_mph,WindDir,AirTempF,RelHumidity,BP_HG,Rain_in,H2O_TempC,SpCond_mScm,Salinity_ppt,PH,PH_mv,Turbidity_ntu,Chla_ugl,BGAPC_CML,BGAPC_rfu,ODO_sat,ODO_mgl,Depth_ft,Depth_m,SurfaceWaterElev_m_levelNad83m
1/1/14 0:00,43816,0,3.87,14.58,30.99,80.5,30.3,0,6.44,0.13,0.06,7.22,-10.9,20.3,3.7,717,0.4,96.3,11.85,15.324,4.670755,-31.55924
1/1/14 0:15,43817,0,4.787,18.53,30.72,82.1,30.3,0,6.49,0.137,0.06,7.52,-26.8,21.8,3.2,736,0.4,99.9,12.28,15.512,4.728058,-31.50194
1/1/14 0:30,43818,0,3.614,16.16,31.22,81.9,30.29,0,6.38,0.134,0.06,7.53,-27.4,21.8,3.6,565,0.3,100.6,12.4,15.695,4.783836,-31.44616
1/1/14 0:45,43819,0,2.986,11.47,30.54,83,30.3,0,6.42,0.136,0.06,7.53,-27.4,21.4,3.5,894,0.5,100.3,12.35,15.844,4.829251,-31.40075
1/1/14 1:00,43820,0,3.522,11.31,30.93,81.8,30.3,0,6.35,0.132,0.06,7.55,-28.3,22,3.4,861,0.4,101.4,12.51,15.981,4.871009,-31.35899
1/1/14 1:15,43821,0,3.827,20.02,30.61,82.8,30.3,0,6.31,0.13,0.06,7.56,-29.1,21.9,3.5,625,0.3,102.1,12.61,16.099,4.906976,-31.32302
1/1/14 1:30,43822,0,4.234,12.53,30.2,82.2,30.3,0,6.35,0.13,0.06,7.56,-28.7,22.2,3.3,781,0.4,101.8,12.56,16.219,4.943551,-31.28645
1/1/14 1:45,43823,0,4.379,16.28,30.33,81.1,30.3,0,6.29,0.129,0.06,7.57,-29.7,22.9,3.5,786,0.4,102.5,12.66,16.318,4.973727,-31.25627
1/1/14 2:00,43824,0,4.037,19.04,30.87,76,30.3,0,6.47,0.136,0.06,7.57,-29.2,21,3.7,895,0.5,100.5,12.36,16.404,4.999939,-31.23006
1/1/14 2:15,43825,0,3.637,29.4,31.94,70.02,30.3,0,6.52,0.137,0.06,7.56,-28.9,21.4,3.2,682,0.3,100.2,12.31,16.478,5.022495,-31.2075
